coreID,species,annotation.ID,image.ID,image.URL,flower,is.duplicated,set.number,sequence,username,user.ID,Year,Month,Day,Latitude,Longitude,Elevation,julian,L4,L3,L2,L1,tmean01,tmean02,tmean03,tmean04,tmean05,tmean06,tmean07,tmean08,tmean09,tmean10,tmean11,tmean12,bio1,bio4,bio10,bio11,precip01,precip02,precip03,precip04,precip05,precip06,precip07,precip08,precip09,precip10,precip11,precip12,bio12,bio15,bio16,bio17
27100334,Aconitum_columbianum,8628079,297098,https://crowdcurio-experiment-images.s3.amazonaws.com/Aconitum_columbianum/images/Aconitum_columbianum.27100334.jpg,3,FALSE,1,3,A3BJ1RB5N1T3QC,20470,2019,7,31,39.63898,-106.36671,2510,212,Sedimentary Subalpine Forests,Southern Rockies,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,-8.79,-7.64,-2.4,3.18,4.23,10.6,15.02,15.31,12.24,0.56,-1.63,-8.7,2.665,8.97,14.19,-8.377,50.034,47.833,111.283,82.892,100.427,48.943,26.311,28.429,22.056,56.866,30.816,55.275,661.165,52.844,294.602,76.796
13822870,Aconitum_columbianum,8628790,296905,https://crowdcurio-experiment-images.s3.amazonaws.com/Aconitum_columbianum/images/Aconitum_columbianum.13822870.jpg,13,FALSE,1,3,A1PZZSDS576RLM,18805,1986,7,1,39.7233964,-106.3925734,2854,182,Sedimentary Subalpine Forests,Southern Rockies,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,-6.41,-6,-1.48,0.68,5.03,11.01,11.66,12.02,7.07,1.88,-4.38,-9.1,1.832,7.519,11.563,-7.17,28.793,113.514,29.543,77.573,23.83,47.934,73.134,40.139,52.085,53.213,68.446,30.103,638.307,49.456,264.221,82.166
3404896,Aconitum_columbianum,8628892,296746,https://crowdcurio-experiment-images.s3.amazonaws.com/Aconitum_columbianum/images/Aconitum_columbianum.3404896.jpg,13,FALSE,3,3,AJ9AUY8K7FFCX,20458,2012,6,15,39.01492,-107.996171,2976,167,Sedimentary Subalpine Forests,Southern Rockies,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,-5.81,-7.6,-1.42,2.8,7.18,14.09,15.4,15.17,10.08,3.89,-0.14,-7.12,3.877,8.559,14.887,-6.843,112.964,114.963,64.985,53.208,3.676,0.882,99.358,34.674,69.744,59.476,108.238,145.475,867.643,62.782,373.402,39.232
13825190,Aconitum_columbianum,8628913,296921,https://crowdcurio-experiment-images.s3.amazonaws.com/Aconitum_columbianum/images/Aconitum_columbianum.13825190.jpg,13,FALSE,1,5,A2L5YNPTP9JWFC,20496,2011,7,20,37.60617,-105.473,3302,201,Sedimentary Subalpine Forests,Southern Rockies,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,-8.13,-7.99,-1.23,1.2,3.84,11.54,14.66,13.59,8.25,3.18,-3.1,-8.23,2.298,8.38,13.263,-8.117,30.578,110.033,62.961,90.877,67.066,1.057,58.495,45.826,41.57,136.291,50.649,68.015,763.418,56.502,337.201,73.205
13823945,Aconitum_columbianum,8629433,296908,https://crowdcurio-experiment-images.s3.amazonaws.com/Aconitum_columbianum/images/Aconitum_columbianum.13823945.jpg,17,FALSE,1,7,A1PZZSDS576RLM,18805,1999,7,7,37.607469,-105.4750883,3306,188,Sedimentary Subalpine Forests,Southern Rockies,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,-6.22,-4.63,-1.19,-1.83,3.51,9.14,12.4,11.05,7.58,3.68,0.76,-7.67,2.215,6.797,10.863,-6.173,48.413,29.645,53.618,225.194,154.934,33.237,100.977,101.448,41.455,83.215,11.939,57.813,941.888,77.407,481.576,74.821
13822823,Aconitum_columbianum,8629781,296874,https://crowdcurio-experiment-images.s3.amazonaws.com/Aconitum_columbianum/images/Aconitum_columbianum.13822823.jpg,8,FALSE,1,6,A16PDK3G4Z3CLH,20511,1990,7,15,40.0340241,-107.3348299,3007,196,Sedimentary Subalpine Forests,Southern Rockies,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,-8.54,-6.56,-1.52,2.56,4.12,11.5,13.42,12.7,11.58,2.64,-2.21,-11.12,2.381,8.618,12.567,-8.74,60.599,67.654,101.137,75.981,53.205,36.365,66.31,40.709,71.099,82.775,77.363,79.836,813.033,26.845,263.748,130.279
13824800,Aconitum_columbianum,8630426,296912,https://crowdcurio-experiment-images.s3.amazonaws.com/Aconitum_columbianum/images/Aconitum_columbianum.13824800.jpg,3,FALSE,1,3,A24L27PW25DN6Z,19195,2001,6,15,40.51438,-105.99482,2838,166,Sedimentary Subalpine Forests,Southern Rockies,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,-8.93,-6.8,-3.51,0.83,5.06,10.3,14.99,13.27,9.67,3.12,-1.79,-8.02,2.349,8.399,12.853,-7.917,19.837,58.262,53.349,76.333,57.511,26.966,39.463,43.776,49.722,36.234,54.825,23.341,539.619,36.964,192.106,70.144
13303914,Aconitum_columbianum,8630740,296817,https://crowdcurio-experiment-images.s3.amazonaws.com/Aconitum_columbianum/images/Aconitum_columbianum.13303914.jpg,6,FALSE,2,1,A2QHTG5ZZHQXPI,20485,2016,7,21,37.458743,-108.087923,3416,203,Sedimentary Subalpine Forests,Southern Rockies,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,-6.52,-2.89,-2.45,-0.04,3.57,12.8,13.81,10.76,8.61,5.24,-0.73,-6.28,2.99,7.225,12.457,-5.23,102.342,84.23,86.628,110.706,134.703,12.272,85.797,157.005,81.503,16.142,130.964,223.009,1225.301,56.267,514.717,109.917
3110515,Aconitum_columbianum,8630894,296721,https://crowdcurio-experiment-images.s3.amazonaws.com/Aconitum_columbianum/images/Aconitum_columbianum.3110515.jpg,4,FALSE,1,5,ADO5GL0Q7KNTQ,20533,2008,6,9,37.42583333,-108.0433333,3063,161,Sedimentary Subalpine Forests,Southern Rockies,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,-8.22,-5.18,-1.77,0.55,5.18,11.91,14.68,14.62,10.63,5.63,1.46,-5.47,3.668,8.04,13.737,-6.29,224.983,177.653,15.059,48.853,73.913,17.799,73.886,56.326,99.027,62.895,82.246,242.099,1174.739,77.515,644.735,81.711
13825124,Aconitum_columbianum,8630973,296918,https://crowdcurio-experiment-images.s3.amazonaws.com/Aconitum_columbianum/images/Aconitum_columbianum.13825124.jpg,10,FALSE,1,9,A24L27PW25DN6Z,19195,1999,7,22,38.07421,-105.58122,3051,203,Sedimentary Subalpine Forests,Southern Rockies,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,-5.37,-3.87,-0.41,-1.2,4.28,10.02,13.68,12.02,8.15,3.94,1.66,-6.69,3.018,6.849,11.907,-5.31,32.992,13.884,33.512,141.996,102.716,41.488,121.343,132.985,46.555,44.397,10.67,45.616,768.154,73.59,396.324,57.546
